rank,path_name,p_val,z_score,combined_score,overlapping_genes,adj_p_val,database,neglogpadj
1,SIM2,3.57E-10,21.9555754,477.5925882,"c(""DUSP4"", ""COL18A1"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""PAX6"", ""PTX3"", ""PTN"", ""PLPP3"", ""SULF2"")",2.50E-07,Enrichr_Submissions_TF-Gene_Coocurrence,6.601350524
2,SOX1,3.57E-10,21.9555754,477.5925882,"c(""DPP6"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""ADGRB1"", ""PAX6"", ""PAX5"", ""PTN"", ""PLPP3"", ""SOX21"")",2.50E-07,Enrichr_Submissions_TF-Gene_Coocurrence,6.601350524
3,EN2,7.62E-09,19.07553879,356.5760108,"c(""DUSP4"", ""DPP6"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""ADGRB1"", ""PAX6"", ""PAX5"", ""SOX21"")",1.53E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.81654766
4,GBX2,7.62E-09,19.07553879,356.5760108,"c(""DUSP4"", ""COL18A1"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""PAX6"", ""MYBL2"", ""SOX21"", ""SULF2"")",1.53E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.81654766
5,LMX1B,7.62E-09,19.07553879,356.5760108,"c(""COL18A1"", ""DPP6"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""ADGRB1"", ""PAX6"", ""PAX5"", ""SULF2"")",1.53E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.81654766
6,NEUROG2,7.62E-09,19.07553879,356.5760108,"c(""DUSP4"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""PLAGL1"", ""PAX6"", ""PAX5"", ""PTN"", ""SOX21"")",1.53E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.81654766
7,SOX2,7.62E-09,19.07553879,356.5760108,"c(""DUSP4"", ""ZIC2"", ""PLK2"", ""PAX6"", ""MYBL2"", ""PTN"", ""PLPP3"", ""SOX21"", ""SULF2"")",1.53E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.81654766
8,BARHL1,1.41E-07,16.38487973,258.410476,"c(""DPP6"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""ADGRB1"", ""PAX6"", ""PAX5"", ""SOX21"")",6.84E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.165028539
9,FOXF2,1.41E-07,16.38487973,258.410476,"c(""DUSP4"", ""COL18A1"", ""ZIC2"", ""PLK2"", ""PTX3"", ""PTN"", ""PLPP3"", ""SULF2"")",6.84E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.165028539
10,FOXH1,1.41E-07,16.38487973,258.410476,"c(""RECQL4"", ""COL18A1"", ""NR5A2"", ""ZIC2"", ""ADGRB1"", ""PAX6"", ""MYBL2"", ""PAX5"")",6.84E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.165028539
11,GSC,1.41E-07,16.38487973,258.410476,"c(""DUSP4"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""PAX6"", ""PAX5"", ""PLPP3"", ""SULF2"")",6.84E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.165028539
12,GSC2,1.41E-07,16.38487973,258.410476,"c(""DPP6"", ""NR5A2"", ""IRX5"", ""ZIC2"", ""ADGRB1"", ""PAX6"", ""PAX5"", ""SOX21"")",6.84E-06,Enrichr_Submissions_TF-Gene_Coocurrence,5.165028539
