target_chromo	target_window_start	target_window_end	target_id	count	target_strand	sno_id	sno_window_start	sno_window_end	mean_score	min_score	max_score
chr10	114438722	114438737	ENSG00000099204	3	-	ENSG00000239014_SNORD108(+)	55	70	0.986	0.98	0.993
chr10	114662538	114662553	ENSG00000099204	3	-	ENSG00000239014_SNORD108(+)	43	58	0.985	0.98	0.995
chr11	799474	799489	ENSG00000177595	3	-	ENSG00000239014_SNORD108(+)	49	64	0.986	0.985	0.987
chr11	24943355	24943370	ENSG00000187398	3	+	ENSG00000239014_SNORD108(+)	55	70	0.985	0.982	0.987
chr11	31804312	31804327	ENSG00000007372	3	-	ENSG00000239014_SNORD108(+)	53	68	0.985	0.98	0.99
chr15	25081262	25081277	ENSG00000224078	3	+	ENSG00000239014_SNORD108(+)	43	58	0.991	0.986	0.996
chr15	25175139	25175156	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.994	0.991	0.996
chr15	25182611	25182628	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.995	0.992	0.996
chr15	25184532	25184547	ENSG00000224078	3	+	ENSG00000239014_SNORD108(+)	51	66	0.991	0.987	0.995
chr15	25210145	25210161	ENSG00000224078	4	+	ENSG00000239014_SNORD108(+)	50	66	0.992	0.987	0.995
chr15	25212022	25212039	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.992	0.987	0.995
chr15	25231064	25231081	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.992	0.987	0.995
chr15	25241971	25241988	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.994	0.991	0.996
chr18	61468699	61468714	ENSG00000101542	3	+	ENSG00000239014_SNORD108(+)	50	65	0.991	0.989	0.993
chr18	61503164	61503180	ENSG00000101542	4	+	ENSG00000239014_SNORD108(+)	50	66	0.992	0.982	0.998
chr20	47705023	47705039	ENSG00000196562	4	-	ENSG00000239014_SNORD108(+)	31	47	0.99	0.983	0.994
chr20	47746217	47746232	ENSG00000196562	3	-	ENSG00000239014_SNORD108(+)	50	65	0.987	0.983	0.99
chr20	47781204	47781219	ENSG00000196562	3	-	ENSG00000239014_SNORD108(+)	51	66	0.99	0.989	0.991
chr21	45406685	45406700	ENSG00000182871	3	+	ENSG00000239014_SNORD108(+)	49	64	0.988	0.984	0.994
chr21	45415755	45415770	ENSG00000182871	3	+	ENSG00000239014_SNORD108(+)	31	46	0.987	0.984	0.992
chr21	45458187	45458202	ENSG00000182871	3	+	ENSG00000239014_SNORD108(+)	43	58	0.983	0.982	0.985
chr3	6957431	6957446	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	51	66	0.995	0.992	0.997
chr3	7102147	7102162	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	55	70	0.99	0.989	0.99
chr3	7193475	7193490	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	56	71	0.989	0.984	0.997
chr3	7216630	7216645	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	55	70	0.989	0.982	0.993
chr3	7290822	7290837	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	55	70	0.988	0.987	0.989
chr3	7370724	7370739	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	56	71	0.992	0.988	0.998
chr3	7495439	7495454	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	55	70	0.984	0.98	0.989
chr3	7710902	7710917	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	55	70	0.991	0.986	0.995
chr3	7723457	7723473	ENSG00000196277	4	+	ENSG00000239014_SNORD108(+)	37	53	0.986	0.983	0.989
chr3	7735757	7735772	ENSG00000196277	3	+	ENSG00000239014_SNORD108(+)	51	66	0.987	0.98	0.995
chr3	128759524	128759539	ENSG00000075785	3	+	ENSG00000239014_SNORD108(+)	48	63	0.987	0.98	0.995
chr6	31815009	31815024	ENSG00000204390	3	-	ENSG00000239014_SNORD108(+)	43	58	0.987	0.984	0.992
chr6	143964057	143964072	ENSG00000118495	3	-	ENSG00000239014_SNORD108(+)	37	52	0.982	0.981	0.983
chr6	143965509	143965525	ENSG00000118495	4	-	ENSG00000239014_SNORD108(+)	50	66	0.991	0.988	0.997
chr7	137272258	137272273	ENSG00000105894	3	-	ENSG00000239014_SNORD108(+)	41	56	0.991	0.99	0.992
chr7	137291670	137291685	ENSG00000105894	3	-	ENSG00000239014_SNORD108(+)	55	70	0.985	0.982	0.987
chr7	153887265	153887280	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	51	66	0.991	0.986	0.995
chr7	154082522	154082537	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	39	54	0.986	0.981	0.996
chr7	154170989	154171004	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	55	70	0.992	0.988	0.995
chr7	154199120	154199137	ENSG00000130226	5	+	ENSG00000239014_SNORD108(+)	53	70	0.992	0.988	0.997
chr7	154384219	154384234	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	31	46	0.988	0.985	0.992
chr7	154445261	154445276	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	50	65	0.992	0.987	0.997
chr7	154592053	154592069	ENSG00000130226	4	+	ENSG00000239014_SNORD108(+)	50	66	0.991	0.983	0.999
chr7	154707059	154707075	ENSG00000130226	4	+	ENSG00000239014_SNORD108(+)	41	57	0.986	0.982	0.993
chr7	154750529	154750544	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	51	66	0.991	0.987	0.995
chr7	154757184	154757199	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	55	70	0.991	0.987	0.995
chr7	154759774	154759789	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	51	66	0.992	0.99	0.994
chr7	154835076	154835091	ENSG00000130226	3	+	ENSG00000239014_SNORD108(+)	55	70	0.989	0.982	0.997
chr8	142489389	142489404	ENSG00000181790	3	+	ENSG00000239014_SNORD108(+)	51	66	0.99	0.989	0.991
chr8	142499955	142499970	ENSG00000181790	3	+	ENSG00000239014_SNORD108(+)	51	66	0.985	0.981	0.989
chr8	142508453	142508472	ENSG00000181790	7	+	ENSG00000239014_SNORD108(+)	52	71	0.992	0.987	0.998
chr8	142530775	142530791	ENSG00000181790	4	+	ENSG00000239014_SNORD108(+)	50	66	0.993	0.987	0.998
chr8	144517634	144517652	ENSG00000160957	6	-	ENSG00000239014_SNORD108(+)	48	66	0.992	0.984	0.999
chr9	34263209	34263224	ENSG00000186638	3	-	ENSG00000239014_SNORD108(+)	51	66	0.99	0.984	0.993
chr9	36848888	36848903	ENSG00000196092	3	-	ENSG00000239014_SNORD108(+)	47	62	0.987	0.986	0.988
chr9	36944012	36944027	ENSG00000196092	3	-	ENSG00000239014_SNORD108(+)	43	58	0.985	0.983	0.988
chr9	36983560	36983575	ENSG00000196092	3	-	ENSG00000239014_SNORD108(+)	51	66	0.99	0.985	0.995
chr9	37031621	37031636	ENSG00000196092	3	-	ENSG00000239014_SNORD108(+)	38	53	0.989	0.98	0.996
chr9	90889965	90889981	ENSG00000165025	4	+	ENSG00000239014_SNORD108(+)	49	65	0.99	0.985	0.993
chrX	28629871	28629886	ENSG00000169306	3	+	ENSG00000239014_SNORD108(+)	50	65	0.991	0.987	0.997
chrX	28967188	28967204	ENSG00000169306	4	+	ENSG00000239014_SNORD108(+)	50	66	0.995	0.993	0.997
chrX	29210728	29210744	ENSG00000169306	4	+	ENSG00000239014_SNORD108(+)	52	68	0.989	0.982	0.998
chrX	29324192	29324209	ENSG00000169306	5	+	ENSG00000239014_SNORD108(+)	38	55	0.987	0.982	0.992
chrX	29822895	29822910	ENSG00000169306	3	+	ENSG00000239014_SNORD108(+)	39	54	0.988	0.982	0.995
chrX	29947946	29947962	ENSG00000169306	4	+	ENSG00000239014_SNORD108(+)	50	66	0.991	0.985	0.997
chrX	68832292	68832307	ENSG00000090776	3	+	ENSG00000239014_SNORD108(+)	55	70	0.986	0.982	0.991
