target_chromo	target_window_start	target_window_end	target_id	count	target_strand	sno_id	sno_window_start	sno_window_end	mean_score	min_score	max_score
chr1	42397708	42397723	ENSG00000177181	3	+	ENSG00000276314_SNORD107(+)	10	25	0.987	0.985	0.99
chr1	42405522	42405537	ENSG00000177181	3	+	ENSG00000239169_SNORD109B(+)	40	55	0.991	0.985	0.995
chr1	42405522	42405537	ENSG00000177181	3	+	ENSG00000274640_SNORD109A(+)	40	55	0.991	0.985	0.995
chr1	56496288	56496303	ENSG00000162407	3	-	ENSG00000276610_SNORD64(+)	11	26	0.991	0.986	0.998
chr1	56511623	56511638	ENSG00000162407	3	-	ENSG00000276314_SNORD107(+)	9	24	0.991	0.988	0.995
chr1	56577813	56577828	ENSG00000162407	3	-	ENSG00000239169_SNORD109B(+)	23	38	0.989	0.984	0.993
chr1	56577813	56577828	ENSG00000162407	3	-	ENSG00000274640_SNORD109A(+)	23	38	0.989	0.984	0.993
chr1	200057707	200057722	ENSG00000116833	3	+	ENSG00000239169_SNORD109B(+)	52	67	0.989	0.981	0.994
chr1	200057707	200057722	ENSG00000116833	3	+	ENSG00000274640_SNORD109A(+)	52	67	0.989	0.981	0.994
chr1	200082605	200082620	ENSG00000116833	3	+	ENSG00000239169_SNORD109B(+)	37	52	0.986	0.98	0.992
chr1	200082605	200082620	ENSG00000116833	3	+	ENSG00000274640_SNORD109A(+)	37	52	0.986	0.98	0.992
chr1	200095989	200096004	ENSG00000116833	3	+	ENSG00000276314_SNORD107(+)	12	27	0.988	0.983	0.991
chr1	200107597	200107613	ENSG00000116833	4	+	ENSG00000239169_SNORD109B(+)	24	40	0.988	0.982	0.994
chr1	200107597	200107613	ENSG00000116833	4	+	ENSG00000274640_SNORD109A(+)	24	40	0.988	0.982	0.994
chr1	200125867	200125882	ENSG00000116833	3	+	ENSG00000276314_SNORD107(+)	13	28	0.994	0.991	0.998
chr10	114438722	114438737	ENSG00000099204	3	-	ENSG00000239014_SNORD108(+)	55	70	0.986	0.98	0.993
chr10	114518629	114518644	ENSG00000099204	3	-	ENSG00000276314_SNORD107(+)	13	28	0.991	0.987	0.993
chr10	114611404	114611419	ENSG00000099204	3	-	ENSG00000239169_SNORD109B(+)	23	38	0.991	0.985	0.995
chr10	114611404	114611419	ENSG00000099204	3	-	ENSG00000274640_SNORD109A(+)	23	38	0.991	0.985	0.995
chr10	114658345	114658360	ENSG00000099204	3	-	ENSG00000276610_SNORD64(+)	49	64	0.986	0.981	0.989
chr10	114662538	114662553	ENSG00000099204	3	-	ENSG00000239014_SNORD108(+)	43	58	0.985	0.98	0.995
chr11	799474	799489	ENSG00000177595	3	-	ENSG00000239014_SNORD108(+)	49	64	0.986	0.985	0.987
chr11	24628670	24628687	ENSG00000187398	5	+	ENSG00000239169_SNORD109B(+)	23	40	0.99	0.983	0.996
chr11	24628670	24628687	ENSG00000187398	5	+	ENSG00000274640_SNORD109A(+)	23	40	0.99	0.983	0.996
chr11	24780926	24780941	ENSG00000187398	3	+	ENSG00000239169_SNORD109B(+)	23	38	0.989	0.984	0.996
chr11	24780926	24780941	ENSG00000187398	3	+	ENSG00000274640_SNORD109A(+)	23	38	0.989	0.984	0.996
chr11	24793607	24793622	ENSG00000187398	3	+	ENSG00000276610_SNORD64(+)	4	19	0.987	0.981	0.993
chr11	24829389	24829404	ENSG00000187398	3	+	ENSG00000276610_SNORD64(+)	11	26	0.986	0.983	0.99
chr11	24858548	24858564	ENSG00000187398	4	+	ENSG00000239169_SNORD109B(+)	29	45	0.99	0.982	0.997
chr11	24858548	24858564	ENSG00000187398	4	+	ENSG00000274640_SNORD109A(+)	29	45	0.99	0.982	0.997
chr11	24943355	24943370	ENSG00000187398	3	+	ENSG00000239014_SNORD108(+)	55	70	0.985	0.982	0.987
chr11	24956500	24956515	ENSG00000187398	3	+	ENSG00000276314_SNORD107(+)	13	28	0.989	0.983	0.995
chr11	24963819	24963834	ENSG00000187398	3	+	ENSG00000239169_SNORD109B(+)	50	65	0.984	0.98	0.99
chr11	24963819	24963834	ENSG00000187398	3	+	ENSG00000274640_SNORD109A(+)	50	65	0.984	0.98	0.99
chr11	25076079	25076094	ENSG00000187398	3	+	ENSG00000276610_SNORD64(+)	4	19	0.985	0.98	0.991
chr11	31793546	31793562	ENSG00000007372	4	-	ENSG00000239169_SNORD109B(+)	24	40	0.988	0.985	0.992
chr11	31793546	31793562	ENSG00000007372	4	-	ENSG00000274640_SNORD109A(+)	24	40	0.988	0.985	0.992
chr11	31804312	31804327	ENSG00000007372	3	-	ENSG00000239014_SNORD108(+)	53	68	0.985	0.98	0.99
chr15	23645224	23645239	ENSG00000254585	3	-	ENSG00000239169_SNORD109B(+)	30	45	0.989	0.984	0.993
chr15	23645224	23645239	ENSG00000254585	3	-	ENSG00000274640_SNORD109A(+)	30	45	0.989	0.984	0.993
chr15	25081262	25081277	ENSG00000224078	3	+	ENSG00000239014_SNORD108(+)	43	58	0.991	0.986	0.996
chr15	25175139	25175156	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.994	0.991	0.996
chr15	25182611	25182628	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.995	0.992	0.996
chr15	25184532	25184547	ENSG00000224078	3	+	ENSG00000239014_SNORD108(+)	51	66	0.991	0.987	0.995
chr15	25210145	25210161	ENSG00000224078	4	+	ENSG00000239014_SNORD108(+)	50	66	0.992	0.987	0.995
chr15	25212022	25212039	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.992	0.987	0.995
chr15	25231064	25231081	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.992	0.987	0.995
chr15	25241971	25241988	ENSG00000224078	5	+	ENSG00000239014_SNORD108(+)	49	66	0.994	0.991	0.996
chr15	25395738	25395753	ENSG00000224078	3	+	ENSG00000276314_SNORD107(+)	13	28	0.986	0.982	0.994
chr16	11845159	11845175	ENSG00000171490	4	-	ENSG00000239169_SNORD109B(+)	50	66	0.987	0.981	0.994
chr16	11845159	11845175	ENSG00000171490	4	-	ENSG00000274640_SNORD109A(+)	50	66	0.987	0.981	0.994
chr17	32488919	32488934	ENSG00000176749	3	+	ENSG00000239169_SNORD109B(+)	35	50	0.986	0.981	0.991
chr17	32488919	32488934	ENSG00000176749	3	+	ENSG00000274640_SNORD109A(+)	35	50	0.986	0.981	0.991
chr18	61455923	61455938	ENSG00000101542	3	+	ENSG00000276610_SNORD64(+)	37	52	0.989	0.983	0.993
chr18	61468699	61468714	ENSG00000101542	3	+	ENSG00000239014_SNORD108(+)	50	65	0.991	0.989	0.993
chr18	61503164	61503180	ENSG00000101542	4	+	ENSG00000239014_SNORD108(+)	50	66	0.992	0.982	0.998
chr18	61506382	61506397	ENSG00000101542	3	+	ENSG00000276314_SNORD107(+)	12	27	0.988	0.982	0.993
chr18	61515428	61515443	ENSG00000101542	3	+	ENSG00000239169_SNORD109B(+)	50	65	0.984	0.98	0.99
